genotype,shocked,trackid,learningscore
dgrp189,true,38,0.05768219914002454
dgrp189,true,39,0.0064102145181836045
dgrp189,true,4,0.01591207435823641
dgrp189,true,40,0.1056448304717672
dgrp189,true,5,0.001542933339266639
dgrp189,true,6,0.009268564046573918
dgrp189,true,7,0.007478845826689062
dgrp189,true,8,0.018273197759714727
dgrp189,true,10,0.0009351869496060927
dgrp189,true,11,0.0031975595202424767
dgrp189,true,12,0.04633966512707366
dgrp189,true,13,0.0629426194952156
dgrp189,true,14,0.003064678869973664
dgrp189,true,15,0.027126547733792777
dgrp189,true,16,0.022258638229200406
dgrp189,true,41,0.008081176876311269
dgrp189,true,42,0.01306866181727101
dgrp189,true,43,0.023552657460086696
dgrp189,true,44,0.06523082577867001
dgrp189,true,45,0.017038036379535382
dgrp189,true,46,0.03844304748197838
dgrp189,true,47,0.017900671512361993
dgrp189,true,48,0.0054689864123833865
dgrp189,true,9,0.008441510270116692
dgrp195,false,17,0.03997927473134805
dgrp195,false,18,0.010143179376306849
dgrp195,false,19,0.0303585339959076
dgrp195,false,20,0.006535661156470751
dgrp195,false,21,0.007980888632733357
dgrp195,false,22,0.003841291501309574
dgrp195,false,23,0.0003748019153526627
dgrp195,false,24,0.013844239610525416
dgrp195,false,49,0.01338215227318465
dgrp195,false,50,0.006043121730952172
dgrp195,false,51,0.04065580070732025
dgrp195,false,53,0.02314414800179615
dgrp195,false,54,0.0019664310997503376
dgrp195,false,55,0.007463638894975699
dgrp195,false,56,0.0032484591529695073
dgrp195,false,25,0.005043180789305102
dgrp195,false,26,0.02588067420736509
dgrp195,false,27,0.020580320053430023
dgrp195,false,28,0.047383091024078006
dgrp195,false,29,0.014708459443897287
dgrp195,false,30,0.027204693091600285
dgrp195,false,31,0.019332948210280004
dgrp195,false,32,0.005230668274681272
dgrp195,false,57,0.015579357177395864
dgrp195,false,58,0.03376952436354341
dgrp195,false,59,0.029842639308523794
dgrp195,false,61,0.03226149773778217
dgrp195,false,62,0.005281817659803845
dgrp195,false,63,0.0007017816061714865
dgrp195,false,64,0.016954616252325166
dgrp195,true,1,0.0011987509974074884
dgrp195,true,2,0.007128609280342424
dgrp195,true,3,0.022347283698119974
dgrp195,true,34,0.016402033844094943
dgrp195,true,35,0.004772809887351265
dgrp195,true,36,0.0069333058700865036
dgrp195,true,37,0.005156700338635245
dgrp195,true,38,0.0060103039416521675
dgrp195,true,39,0.008514742701065281
dgrp195,true,4,0.0031043494095604196
dgrp195,true,40,0.02245042063505584
dgrp195,true,5,0.005303156126444081
dgrp195,true,6,0.007113114782664548
dgrp195,true,7,0.005596295828072084
dgrp195,true,8,0.021763638022369886
dgrp195,true,10,0.0036530941005207263
dgrp195,true,11,0.0098168329406918
dgrp195,true,12,0.008521482190336854
dgrp195,true,13,0.013591066340101848
dgrp195,true,14,0.0537369538582112
dgrp195,true,15,0.15747897950937834
dgrp195,true,16,0.02759358638976042
dgrp195,true,42,0.015496661253315197
dgrp195,true,43,0.011374753924442205
dgrp195,true,44,0.018799986014627845
dgrp195,true,45,0.04142275638289261
dgrp195,true,46,0.025978864531334467
dgrp195,true,47,0.009387323623500088
dgrp195,true,48,0.03459782841766659
dgrp195,true,9,0.02559808577398337
dgrp208,false,17,0.03286701846777659
dgrp208,false,18,0.02310015986203548
dgrp208,false,19,0.019609800969539737
dgrp208,false,20,0.0296575666905195
dgrp208,false,21,0.014655180348104535
dgrp208,false,22,0.02508573963727906
dgrp208,false,23,0.019353387591060173
dgrp208,false,24,0.019255782698007734
dgrp208,false,49,0.06834253491785075
dgrp208,false,50,0.010810733333653594
dgrp208,false,52,0.01760527627623537
dgrp208,false,53,0.03545866860225702
dgrp208,false,54,0.006451823499568049
dgrp208,false,55,0.010897518624811559
dgrp208,false,56,0.0046549699913271125
dgrp208,false,25,0.0038497901197100393
dgrp208,false,26,0.010891345749484194
dgrp208,false,27,0.04717747555873256
dgrp208,false,28,0.020966738565235316
dgrp208,false,29,0.006011965337430647
dgrp208,false,30,0.04907126149215127
dgrp208,false,31,0.06328661501023361
dgrp208,false,32,0.031341427237174674
dgrp208,false,57,0.0016233127484079624
dgrp208,false,58,0.003728459657649952
dgrp208,false,60,0.044262548644337874
dgrp208,false,61,0.0003371833382428968
dgrp208,false,62,0.013206942691389195
dgrp208,false,63,0.026649271732237717
dgrp208,false,64,0.02488724089612812
dgrp208,true,1,0.006113756653187058
dgrp208,true,2,0.034454698462108774
dgrp208,true,3,0.06447493888846226
dgrp208,true,33,0.00944179093752931
dgrp208,true,34,0.0017699358179435742
dgrp208,true,35,0.005484058947730519
dgrp208,true,36,0.028280602494795914
dgrp208,true,37,0.027016564158283962
dgrp208,true,38,0.023670244549205383
dgrp208,true,39,0.010254314388969399
dgrp208,true,4,0.08063147765229345
dgrp208,true,40,0.02729837569439722
dgrp208,true,5,0.002739021973582334
dgrp208,true,6,0.008821812972828635
dgrp208,true,7,0.03871575399773158
dgrp208,true,8,0.01981654453895834
dgrp208,true,10,0.028583235989173034
dgrp208,true,11,0.0022101772101793815
dgrp208,true,12,0.00884655277952029
dgrp208,true,13,0.11737403443322875
dgrp208,true,15,0.009664027308356443
dgrp208,true,16,0.03374170947214142
dgrp208,true,41,0.004498899051048444
dgrp208,true,42,0.0016564613202365297
dgrp208,true,43,0.02291418228218825
dgrp208,true,44,0.005733462129239392
dgrp208,true,45,0.02764867149782979
dgrp208,true,46,0.017994283267471517
dgrp208,true,47,0.05516848172965455
dgrp208,true,48,0.011373318371601437
dgrp208,true,9,0.0008154736613233404
dgrp21,false,33,0.018580944108251646
dgrp21,false,34,0.020138451751254033
dgrp21,false,35,0.011418427314853374
dgrp21,false,36,0.0097489807780331
dgrp21,false,37,0.02140482630933946
dgrp21,false,38,0.009519297980087382
dgrp21,false,39,0.011465008806840704
dgrp21,false,40,0.002740780089494438
dgrp21,false,49,0.03485222434708363
dgrp21,false,50,0.004959254041096317
dgrp21,false,51,0.0012247977605402138
dgrp21,false,52,0.009256520515579986
dgrp21,false,53,0.004046129757139638
dgrp21,false,54,0.0008641747552532164
dgrp21,false,55,0.014162954396083977
dgrp21,false,56,0.04742254845492702
dgrp21,false,41,0.0018343706349114308
dgrp21,false,42,0.04752554439307488
dgrp21,false,43,0.02297627647081435
dgrp21,false,44,0.016975474208190178
dgrp21,false,45,0.020369503754245954
dgrp21,false,46,0.0023452918797610134
dgrp21,false,47,0.010924605464536913
dgrp21,false,48,0.02427109715738532
dgrp21,false,57,0.05147331593065607
dgrp21,false,58,0.002529068730746792
dgrp21,false,59,0.016886402693656183
dgrp21,false,60,0.012061306784691972
dgrp21,false,61,0.007425862875624467
dgrp21,false,62,0.027196810440582614
dgrp21,false,63,0.023719045281915346
dgrp21,false,64,0.04583586507147683
dgrp21,true,1,0.004874758746051977
dgrp21,true,17,0.0009828345504601377
dgrp21,true,18,0.0013555945482189025
dgrp21,true,19,0.00039484816656265576
dgrp21,true,2,0.0003544955054005927
dgrp21,true,20,0.000618795763653951
dgrp21,true,21,0.031560153055296775
dgrp21,true,22,0.01093023128719961
dgrp21,true,23,0.0015703216816429777
dgrp21,true,24,0.004577615219252457
dgrp21,true,3,0.003675465912330228
dgrp21,true,4,0.004534241859798588
dgrp21,true,5,0.001327565231050487
dgrp21,true,6,0.003179891919571215
dgrp21,true,7,0.0210683377731212
dgrp21,true,8,0.0030994381194417164
dgrp21,true,10,0.015573983669285085
dgrp21,true,11,0.004205250348442213
dgrp21,true,12,0.011086840519855728
dgrp21,true,13,0.00393744785035216
dgrp21,true,14,0.016940012018288264
dgrp21,true,15,0.052564846395045745
dgrp21,true,16,0.02693317770269399
dgrp21,true,25,0.003085408843692461
dgrp21,true,26,0.00226959142168337
dgrp21,true,27,0.006272236083251503
dgrp21,true,28,0.005103672130252562
dgrp21,true,29,0.002077690016865724
dgrp21,true,30,0.027856422208700438
dgrp21,true,31,0.004819688124015231
dgrp21,true,32,0.024375467649054655
dgrp21,true,9,0.0025492385846912213
dgrp217,false,17,0.06294659709107922
dgrp217,false,18,0.032098809286923685
dgrp217,false,19,0.0014540010151866123
dgrp217,false,20,0.11024380882408497
dgrp217,false,21,0.025014250816631667
dgrp217,false,22,0.070979375913197
dgrp217,false,23,0.020223251551491073
dgrp217,false,24,0.008260509518069697
dgrp217,false,49,0.029541769876675034
dgrp217,false,50,0.0031141318718587996
