genotype,shocked,trackid,new_learningscore
dgrp75,true,34,0.06663873701606314
dgrp75,true,35,0.36765823534710335
dgrp75,true,36,0.2807759092984389
dgrp75,true,37,-0.6333494084763457
dgrp75,true,38,-0.3797512365129002
dgrp75,true,39,-0.129271214659955
dgrp75,true,4,0.02322988652573678
dgrp75,true,40,0.20443983035571167
dgrp75,true,5,0.532462038771827
dgrp75,true,6,-0.26735033162058963
dgrp75,true,7,0.6880045353666833
dgrp75,true,8,0.7071830977892828
dgrp75,true,10,0.14464714801520662
dgrp75,true,11,0.44112204873477256
dgrp75,true,12,0.09235245041559964
dgrp75,true,13,-0.16199055676044605
dgrp75,true,14,-0.11087180441563514
dgrp75,true,15,-0.17758583113248683
dgrp75,true,16,-0.09713650419632938
dgrp75,true,41,-0.03636363636363637
dgrp75,true,42,-0.17628338297912144
dgrp75,true,43,0.1412110849773489
dgrp75,true,44,0.16369809843000924
dgrp75,true,45,-0.11825561568659651
dgrp75,true,46,0.4751571523297795
dgrp75,true,47,0.25759943041717326
dgrp75,true,48,-0.6099580297720546
dgrp75,true,9,-0.002908592980856682
dgrp820,false,17,0.26995644760506454
dgrp820,false,18,-0.23146453722476582
dgrp820,false,19,-0.6126476906243516
dgrp820,false,20,-0.12732832968160473
dgrp820,false,21,-0.0
dgrp820,false,22,0.2311688494717396
dgrp820,false,23,-0.28015042186910716
dgrp820,false,24,0.36380098921032017
dgrp820,false,49,-0.5749650551772344
dgrp820,false,50,-0.28974737996622996
dgrp820,false,51,0.03382144498296428
dgrp820,false,52,-0.21569283939170977
dgrp820,false,53,-0.5960337513404453
dgrp820,false,54,-0.23717359623113865
dgrp820,false,55,-0.027159435111861367
dgrp820,false,56,-0.38521143738277075
dgrp820,false,25,0.5218486246908344
dgrp820,false,26,0.42023950927861
dgrp820,false,27,0.1733203650886324
dgrp820,false,28,-0.10524345427361642
dgrp820,false,29,0.4484848484848485
dgrp820,false,30,0.024242424242424232
dgrp820,false,31,-0.3151515151515152
dgrp820,false,32,0.15759429171205006
dgrp820,false,57,0.16138449433034519
dgrp820,false,58,0.10399211958720223
dgrp820,false,59,-0.6458595894484762
dgrp820,false,60,0.34225482872866353
dgrp820,false,61,0.014727179499039678
dgrp820,false,62,-0.42495272522591576
dgrp820,false,63,-0.7827364246717121
dgrp820,false,64,0.17693452012062966
dgrp820,true,1,-0.18450133538597258
dgrp820,true,2,-0.7129464901906758
dgrp820,true,3,0.2690893863159539
dgrp820,true,33,-0.5169839006745464
dgrp820,true,34,-0.23991289521012912
dgrp820,true,35,-0.15152437620324882
dgrp820,true,36,-0.32237302476398066
dgrp820,true,37,-0.6612642014632357
dgrp820,true,38,-0.3135735539525955
dgrp820,true,39,0.4031001912169915
dgrp820,true,4,0.2884660462850987
dgrp820,true,40,-0.38856455092161
dgrp820,true,5,0.24942016261975383
dgrp820,true,6,-0.7566954143553835
dgrp820,true,7,-0.0122050010730227
dgrp820,true,8,-0.19653103045001943
dgrp820,true,10,0.6223559825361855
dgrp820,true,11,-0.21035123035879844
dgrp820,true,12,-0.03636363636363636
dgrp820,true,13,0.04626023170724384
dgrp820,true,14,0.4040311463900975
dgrp820,true,15,0.3790092713022138
dgrp820,true,16,0.6484848484848484
dgrp820,true,41,-0.4519623918772323
dgrp820,true,42,-0.19988776230381133
dgrp820,true,43,0.35748308689429514
dgrp820,true,45,0.343202676148527
dgrp820,true,46,0.7687795582040106
dgrp820,true,47,-0.09710806729115637
dgrp820,true,48,0.8011161872597724
dgrp820,true,9,-0.37030776487131345
dgrp879,false,17,0.1928943255238394
dgrp879,false,18,-0.6227689886606904
dgrp879,false,19,-0.24444494573335465
dgrp879,false,20,0.7574825413421181
dgrp879,false,21,0.00909090909090909
dgrp879,false,22,-0.10991253953004687
dgrp879,false,23,0.4372985589636401
dgrp879,false,24,0.6982212202458071
dgrp879,false,49,0.3995435933733974
dgrp879,false,50,0.4606767176916566
dgrp879,false,51,-0.06404016683900743
dgrp879,false,52,-0.3787907861326324
dgrp879,false,53,0.04922124753047688
dgrp879,false,54,-0.20653541012086601
dgrp879,false,55,-0.021681963653924094
dgrp879,false,56,-0.38527359272459194
dgrp879,false,25,0.7095797420366504
dgrp879,false,26,-0.03340713083811167
dgrp879,false,27,0.28338224225197933
dgrp879,false,28,-0.167571631950002
dgrp879,false,29,0.0009866691277860412
dgrp879,false,30,-0.28008406000983954
dgrp879,false,31,0.35286814346450335
